,,,(%),,IBT formula,,,,,,,,64,64,64,32,32,32
Avg Packet Size,Bw ,Ports,Loss Rate,E(Packets lost),Cells per digest,Digest Size KB,Switch Memory (MB),Number cells 32 bits,Number cells 64 bits,# Registers 32,# Registers 64,Stages/Tofino1,Time to read,Time to reset,total time,Time to read,Time to reset,total time
1024,100,32,1,1220.703125,1586.914063,24.79553223,3.099442,812500.000000,406250.000000,5.667550,5.667550,4.220516,0.052340,0.009271,0.061611,0.089488,0.009304,0.098792
1500,100,32,0.1,83.33333333,108.3333333,1.692708333,0.211589,55466.666667,27733.333333,0.386905,0.386905,0.288121,0.003573,0.003587,0.007160,0.006109,0.003600,0.009709
1500,100,32,0.2,166.6666667,216.6666667,3.385416667,0.423177,110933.333333,55466.666667,0.773810,0.773810,0.576241,0.007146,0.007174,0.014320,0.012218,0.007200,0.019418
1500,100,32,0.3,250,325,5.078125,0.634766,166400.000000,83200.000000,1.160714,1.160714,0.864362,0.010719,0.009271,0.019990,0.018327,0.009304,0.027631
1500,100,32,0.4,333.3333333,433.3333333,6.770833333,0.846354,221866.666667,110933.333333,1.547619,1.547619,1.152482,0.014292,0.009271,0.023563,0.024436,0.009304,0.033740
1500,100,32,0.5,416.6666667,541.6666667,8.463541667,1.057943,277333.333333,138666.666667,1.934524,1.934524,1.440603,0.017865,0.009271,0.027136,0.030545,0.009304,0.039849
1500,100,32,0.6,500,650,10.15625,1.269531,332800.000000,166400.000000,2.321429,2.321429,1.728723,0.021438,0.009271,0.030709,0.036654,0.009304,0.045958
1500,100,32,0.7,583.3333333,758.3333333,11.84895833,1.481120,388266.666667,194133.333333,2.708333,2.708333,2.016844,0.025011,0.009271,0.034282,0.042763,0.009304,0.052067
1500,100,32,0.8,666.6666667,866.6666667,13.54166667,1.692708,443733.333333,221866.666667,3.095238,3.095238,2.304965,0.028585,0.009271,0.037856,0.048872,0.009304,0.058176
1500,100,32,0.9,750,975,15.234375,1.904297,499200.000000,249600.000000,3.482143,3.482143,2.593085,0.032158,0.009271,0.041429,0.054981,0.009304,0.064285
1500,100,32,1,833.3333333,1083.333333,16.92708333,2.115885,554666.666667,277333.333333,3.869048,3.869048,2.881206,0.035731,0.009271,0.045002,0.061090,0.009304,0.070394
